grid_square,population_per_hectare,bicycle_aadf,motor_vehicle_aadf,safe
"51.5435,-0.5395",30.6,44.4,2148.6,1
"51.321,-0.5295",10.6,40.4,524.4,1
"51.333,0.189",2.0,16.4,5928.4,1
"51.4225,-0.134",91.6,24.4,506.4,1
"51.2975,-0.3155",4.0,19.2,24953.80000000001,1
"51.6355,-0.018",55.6,92.6,18524.8,1
"51.28,-0.2555",11.2,0.0,151126.2,1
"51.5675,-0.263",56.2,264.4,42484.0,1
"51.387,0.0715",44.2,65.0,17750.399999999998,1
"51.4715,-0.0275",92.6,13.2,513.4,1
"51.603,-0.146",104.2,124.2,14929.4,1
"51.3285,0.1345",2.0,0.0,40156.6,1
"51.4335,-0.3495",63.3,358.8,14052.4,1
"51.632,-0.2925",4.9,63.0,33701.399999999994,1
"51.509,-0.102",60.4,5576.4,26653.2,1
"51.433,0.1895",51.8,36.8,18091.0,1
"51.516,0.224",5.6,32.8,14903.4,1
"51.689,-0.177",3.5,60.2,17054.4,1
"51.6915,-0.035",64.3,20.4,23219.4,1
"51.4615,-0.5215",1.2,0.0,198459.2,1
"51.572,-0.0175",149.5,1738.4,17471.799999999996,1
"51.566,0.2185",41.5,16.4,924.8,1
"51.6185,0.107",59.8,4.2,9198.6,1
"51.3015,0.023",34.8,40.2,16860.199999999993,1
"51.557,0.21",64.1,16.4,924.8,1
"51.542,0.2345",17.6,15.6,634.8000000000002,1
"51.3355,-0.25",11.2,94.4,21600.6,1
"51.5255,-0.5215",30.6,54.8,4572.0,1
"51.5295,-0.206",310.6,344.6,5826.200000000003,1
"51.288,0.128",2.0,0.0,130464.6,1
"51.6865,-0.277",7.6,1.4,371.20000000000016,1
"51.541,-0.2",173.2,348.4,7144.4,1
"51.7,-0.217",10.1,0.0,49495.99999999999,1
"51.4895,0.155",12.9,24.8,9866.8,1
"51.524,0.087",10.1,187.2,109659.0,1
"51.643,0.1275",64.2,28.0,15960.4,1
"51.531,0.191",15.8,59.2,24566.200000000004,1
"51.634,-0.249",5.1,37.4,14076.2,1
"51.6645,-0.289",56.7,3.4,290.6,1
"51.5165,-0.2435",109.8,92.6,84946.40000000001,1
"51.2645,0.1145",1.6,38.0,15100.6,1
"51.56,-0.128",138.4,1718.8,28462.0,1
"51.621,-0.2425",40.1,37.4,14076.2,1
"51.363,0.146",2.0,0.0,113675.4,1
"51.368,0.0985",33.5,90.8,16739.0,1
"51.635,0.2115",16.0,15.6,10551.0,1
"51.3155,-0.3415",4.0,67.6,12615.4,1
"51.582,-0.0105",95.7,353.6,13143.4,1
"51.6355,-0.18",32.2,247.4,27987.0,1
"51.6125,-0.435",19.8,35.6,9059.0,1
"51.267,-0.141",6.5,0.0,31967.8,1
"51.371,-0.512",10.6,96.0,7678.4,1
"51.4645,-0.473",1.2,45.4,28870.2,1
"51.4795,-0.041",100.7,262.4,10760.6,1
"51.693,-0.0655",1.3,8.0,15263.6,1
"51.3585,0.1615",2.0,0.0,113675.4,1
"51.708,-0.5075",3.6,41.0,9727.8,1
"51.4115,-0.283",90.4,119.8,14342.2,1
"51.601,-0.5025",3.6,16.4,12239.000000000002,1
"51.2595,-0.242",11.2,144.6,13997.4,1
"51.529,-0.348",70.8,98.4,125721.8,1
"51.362,-0.2295",53.3,221.2,18675.000000000004,1
"51.359,-0.0065",54.7,19.4,24415.2,1
"51.4215,-0.059",37.5,340.8,17934.399999999998,1
"51.3925,0.086",31.5,7.0,601.8,1
"51.479,-0.27",43.2,581.4,36875.4,1
"51.5915,0.022",52.5,6.8,147451.0,1
"51.647,-0.505",3.6,0.0,162936.0,1
"51.6665,0.017",43.3,2.4,15566.4,1
"51.522,0.002",27.9,121.4,16575.2,1
"51.539,-0.492",30.6,90.8,13348.0,1
"51.3575,-0.016",89.5,19.4,24415.2,1
"51.3165,0.041",6.3,30.0,5111.6,1
"51.7175,-0.4365",25.4,40.8,14332.6,1
"51.719,0.215",4.4,8.8,17483.8,1
"51.2995,0.0035",34.8,0.0,130464.6,1
"51.6385,0.24",4.4,0.0,134308.0,1
"51.7155,-0.2865",7.6,32.8,12560.6,1
"51.5635,0.0505",62.8,140.0,9509.599999999997,1
"51.363,-0.5035",10.6,96.0,7678.4,1
"51.554,-0.4205",6.4,169.0,111804.4,1
"51.519,-0.2815",60.8,91.8,28332.0,1
"51.3025,-0.056",34.6,13.4,3168.800000000001,1
"51.373,0.2475",34.4,24.0,1275.1999999999996,1
"51.6625,-0.122",8.4,58.8,17188.399999999998,1
"51.3895,-0.5145",10.6,114.2,18391.4,1
"51.39,-0.4645",10.6,0.0,60476.00000000001,1
"51.4685,0.092",68.4,154.0,19839.4,1
"51.4865,-0.2075",207.3,1597.2,13572.8,1
"51.375,-0.37",3.8,115.0,12074.0,1
"51.3285,-0.4565",70.5,85.8,27316.4,1
"51.285,0.013",34.8,0.0,130464.6,1
"51.4265,-0.3105",46.7,181.4,13868.6,1
"51.6345,-0.184",13.6,247.4,27987.0,1
"51.3165,-0.4455",70.5,2.6,86170.79999999999,1
"51.3955,-0.273",70.5,118.2,2017.8,1
"51.3125,-0.272",32.1,85.2,16208.4,1
"51.7095,-0.025",64.3,16.0,5608.0,1
"51.483,0.287",1.6,63.4,16725.8,1
"51.2685,0.116",1.6,38.0,15100.6,1
"51.33,0.0005",30.9,41.0,15734.0,1
"51.6495,-0.1065",18.2,84.8,15573.999999999998,1
"51.4955,0.127",86.7,64.4,7215.8,1
"51.42,-0.243",23.8,745.2,12655.2,1
"51.649,-0.26",7.6,21.0,15400.2,1
"51.3675,0.1055",34.0,32.4,17230.399999999998,1
"51.3525,-0.251",57.4,235.0,39852.6,1
"51.5195,-0.464",89.4,45.4,14683.6,1
"51.2875,-0.241",11.2,144.6,13997.4,1
"51.434,0.2025",34.4,79.4,9457.999999999998,1
"51.694,-0.0705",1.3,8.0,15263.6,1
"51.3055,0.043",1.6,30.0,5111.6,1
"51.6805,-0.22",18.8,0.0,49495.99999999999,1
"51.507,0.109",73.9,32.6,14846.6,1
"51.523,-0.4025",90.0,100.4,53037.6,1
"51.719,0.172",2.7,5.2,13938.600000000002,1
"51.678,-0.4785",3.6,0.0,176717.0,1
"51.5015,-0.112",59.6,4274.4,17551.0,1
"51.657,-0.1255",50.5,58.8,17188.399999999998,1
"51.3815,-0.5015",10.6,7.4,29884.800000000014,1
"51.552,0.1965",79.7,20.2,8680.2,1
"51.5335,-0.2775",49.6,27.6,97132.2,1
"51.261,-0.03",34.8,12.2,20924.6,1
"51.355,-0.2575",57.4,235.0,39852.6,1
"51.712,-0.4815",3.6,0.0,43556.0,1
"51.3145,0.2035",2.0,16.4,5928.4,1
"51.3215,0.271",2.0,24.2,8521.2,1
"51.6045,-0.1875",68.1,12.6,1784.0,1
"51.2575,-0.051",25.3,5.6,27429.4,1
"51.3505,-0.4525",70.5,110.4,14728.6,1
"51.695,-0.2885",7.6,32.8,12560.6,1
"51.6955,-0.318",6.9,157.0,15856.0,1
"51.483,-0.2295",33.8,969.8,22460.2,1
"51.2995,-0.0095",34.8,0.0,130464.6,1
"51.2875,0.2875",2.0,35.8,18698.4,1
"51.5825,-0.164",52.5,90.2,31374.8,1
"51.5365,0.0215",159.1,212.4,14170.4,1
"51.362,-0.0985",89.2,164.4,18101.6,1
"51.6395,-0.4835",3.6,10.8,818.1999999999997,1
"51.524,-0.104",74.7,4863.6,15551.000000000002,1
"51.7145,0.2815",4.4,3.0,12107.0,1
"51.4335,-0.2665",27.9,51.4,60645.8,1
"51.6645,0.215",4.4,6.8,8725.400000000001,1
"51.708,-0.134",1.3,19.0,12548.999999999998,1
"51.6265,0.13",4.0,67.8,29192.8,1
"51.7165,0.2675",4.4,34.8,15552.0,1
"51.364,0.249",34.4,0.0,57099.60000000001,1
"51.658,-0.228",5.1,36.2,11001.8,1
"51.5405,0.005",88.9,655.0,17723.8,1
"51.599,-0.092",135.0,1403.2,23030.6,1
"51.308,0.2365",2.0,0.0,48621.4,1
"51.68,-0.1465",3.5,19.0,12548.999999999998,1
"51.5305,-0.2475",13.5,91.8,9895.2,1
"51.592,-0.3765",37.4,34.4,9789.2,1
"51.703,-0.225",10.1,0.0,137003.40000000002,1
"51.7125,-0.295",7.6,32.8,12560.6,1
"51.4635,-0.2765",97.4,770.8,22456.0,1
"51.518,-0.2125",133.4,2.6,86375.8,1
"51.35,-0.1645",3.7,1.0,102.8,1
"51.3285,-0.3285",4.0,19.8,19915.6,1
"51.593,-0.1705",96.5,470.4,21745.4,1
"51.427,-0.364",35.0,40.8,14808.2,1
"51.4655,0.2445",11.8,0.0,128692.0,1
